year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2014,3,16,21,16,30,-19.9246,-70.6278,20,6.7
2014,3,15,20,14,24,-19.4336,-70.9658,9.6,4.7
2014,3,14,15,31,18,-19.4895,-69.5273,92.9,4.6
2014,3,5,20,29,0,-21.1846,-68.402,129.8,4.5
2014,3,2,20,55,14,-19.166,-69.328,110.5,4.5
2014,3,1,20,16,32,-18.407,-69.739,142.8,3.9
2014,2,23,14,26,11,-20.2298,-68.7142,117.7,4.5
2014,2,22,22,16,29,-19.922,-69.199,97,4
2014,2,16,8,49,27,-19.445,-71.022,36.9,4.1
2014,2,16,3,56,39,-19.5573,-71.0884,18.8,4
2014,2,14,9,34,39,-18.2573,-69.2574,120.6,4.8
2014,2,13,20,51,47,-19.905,-69.265,98.6,4.5
2014,2,13,18,19,30,-20.95,-68.973,104.8,4.5
2014,2,11,14,57,48,-21.777,-68.684,130.6,4.3
2014,2,9,13,48,6,-21.048,-68.991,105.9,4.5
2014,2,5,11,51,5,-21.377,-69.517,39.6,5
2014,2,4,18,27,52,-19.5284,-71.0341,16,4.1
2014,2,4,18,19,35,-19.5272,-71.0293,17.5,3.9
2014,2,3,6,12,18,-19.4825,-71.1265,16.4,4.4
2014,2,2,19,35,21,-19.424,-71.039,33.6,4.3
2014,1,31,13,48,23,-18.069,-69.663,149.1,4.5
2014,1,30,14,20,56,-19.6118,-70.9487,15.2,4.1
2014,1,29,18,58,23,-18.661,-69.644,123.1,4.8
2014,1,29,10,1,50,-18.5099,-69.3752,119.9,5.6
2014,1,22,4,46,38,-18.476,-69.648,95.1,4.5
2014,1,21,22,6,33,-20.252,-69.273,94.9,4.8
2014,1,21,21,41,21,-19.683,-70.974,37.8,4
2014,1,21,20,49,57,-20.782,-69.367,71.6,4
2014,1,21,8,0,0,-19.82,-69.229,102.5,4.6
2014,1,19,5,26,44,-20.996,-69.789,40.3,4.3
2014,1,12,18,16,18,-20.25,-70.092,69.4,4
2014,1,12,14,52,19,-21.526,-69.752,69.2,4.3
2014,1,11,10,19,12,-20.61,-70.77,40,4.7
2014,1,10,22,49,23,-21.384,-68.721,122.4,4
2014,1,10,16,45,0,-20.236,-69.655,44,4.3
2014,1,8,4,22,10,-20.7495,-70.633,20,5.7
2014,1,7,22,45,39,-19.294,-70.124,56,4.3
2014,1,7,3,43,23,-20.989,-69.729,97.3,5.3
2014,1,6,16,23,22,-20.5234,-68.8167,105.4,4.6
2014,1,6,11,27,27,-19.65,-70.477,38.1,4.1
2014,1,6,7,56,11,-20.767,-70.742,15.1,4.9
2014,1,6,3,59,2,-20.774,-70.652,26.6,5.1
2014,1,5,22,47,12,-20.604,-70.536,14.5,4.1
2014,1,4,8,25,36,-20.657,-70.762,36.6,4.2
2014,1,4,0,11,48,-20.687,-70.795,26.1,5.7
2014,1,1,11,8,41,-21.3022,-68.0824,121.3,4
2013,12,29,17,39,29,-21.265,-68.3974,123.7,4.6
2013,12,28,2,39,7,-21.884,-68.654,131,4.1
2013,12,27,20,13,10,-21.169,-68.556,131.4,4.1
2013,12,26,15,7,27,-20.997,-68.671,123.5,4.1
2013,12,24,7,35,53,-20.0557,-68.118,164.8,4.2
2013,12,20,18,10,4,-21.721,-68.795,120,4.1
2013,12,15,22,7,31,-21.721,-68.689,128,4.4
2013,12,15,15,18,10,-18.784,-69.4986,134.5,4.4
2013,12,9,16,28,52,-18.3097,-69.5324,126.3,4.8
2013,12,8,17,1,59,-19.597,-70.09,76.6,4.8
2013,11,29,17,38,18,-20.861,-69.064,109.7,4
2013,11,29,11,34,33,-21.825,-70.268,31.1,3.1
2013,11,27,20,30,50,-18.532,-69.706,80.6,4.8
2013,11,18,16,1,17,-21.101,-68.666,137.6,4.7
2013,11,17,12,51,20,-20.529,-70.453,40,4.1
2013,11,14,7,41,52,-21.155,-68.792,116.8,4.2
2013,11,11,22,28,38,-19.231,-71.87,26.2,4.4
2013,11,10,7,39,58,-19.894,-70.045,55,4.2
2013,11,6,23,32,0,-21.692,-68.627,125.9,4.1
2013,11,5,10,6,36,-18.0384,-69.005,154.3,4.7
2013,10,23,9,32,38,-20.699,-68.89,100,4.5
2013,10,20,21,51,32,-18.59,-70.183,58.2,4.2
2013,10,16,16,28,38,-21.1272,-68.3078,130.2,4.4
2013,10,11,3,32,2,-19.9288,-68.9959,98.5,4.9
2013,10,1,4,12,21,-18.347,-69.383,121.5,4.7
2013,9,29,21,14,28,-20.7245,-69.4304,121.2,4
2013,9,29,4,1,36,-21.735,-68.642,120.5,3.7
2013,9,28,7,28,14,-18.544,-71.024,29.6,4.1
2013,9,26,18,42,46,-20.595,-69.286,89.4,4.3
2013,9,25,8,10,55,-21.276,-68.833,127.1,4.2
2013,9,24,19,51,3,-20.6123,-69.0238,104.3,4.1
2013,9,21,7,16,4,-18.68,-69.082,142.1,4.6
2013,9,20,10,0,51,-21.161,-68.559,119.7,4.2
2013,9,7,19,13,31,-19.617,-69.299,100.1,5
2013,9,5,15,3,16,-21.029,-68.962,124.4,4.6
2013,9,4,4,12,39,-21.457,-69.85,75.2,4.5
2013,9,3,17,48,10,-19.3025,-68.9572,124.7,4.6
2013,9,2,15,1,7,-20.182,-69.25,97.6,4.7
2013,8,28,17,56,29,-20.7472,-68.9566,111.4,4.7
2013,8,19,19,39,45,-21.4513,-68.5181,115.8,5.4
2013,8,17,18,11,14,-21.197,-68.745,126.1,4.4
2013,8,16,6,51,12,-20.1506,-70.6427,35.7,4.5
2013,8,16,5,22,52,-19.2,-69.403,104.8,4.6
2013,8,15,13,17,33,-20.118,-70.844,33.2,4.1
2013,8,10,14,45,15,-19.16,-70.011,62.7,4.2
2013,8,7,17,23,56,-19.369,-69.601,86.1,4.5
2013,8,7,17,23,55,-19.3567,-70.1605,31.8,4.4
2013,8,7,8,19,57,-19.653,-69.181,107.6,4.5
2013,8,6,13,21,39,-19.883,-69.925,52.3,4.3
2013,8,5,7,29,39,-19.672,-69.348,96.2,4.6
2013,8,5,5,40,56,-20.1808,-70.7121,19.1,5.2
2013,7,29,23,0,33,-20.382,-69.13,99.9,3.9
2013,7,26,4,6,22,-19.947,-70.557,23.8,4.4
2013,7,24,13,29,53,-20.211,-70.761,18.1,4.8
2013,7,24,2,9,25,-21.347,-68.023,194.6,4.3
2013,7,23,22,36,50,-20.243,-70.894,38.5,4.4
2013,7,23,21,30,18,-20.232,-70.875,39,4.4
2013,7,23,21,12,19,-20.227,-70.911,37.1,4.6
2013,7,23,20,16,23,-20.292,-70.716,26.1,4.5
2013,7,23,17,27,15,-20.2,-70.674,18.5,4.7
2013,7,23,5,11,20,-19.745,-69.302,96.6,4.5
2013,7,21,14,51,23,-20.46,-69.189,99.4,4.5
2013,7,20,9,16,36,-19.967,-68.959,118.1,4.1
2013,7,19,0,46,28,-20.229,-70.786,41.4,4.7
2013,7,18,2,7,30,-20.677,-70.503,48.5,4.5
2013,7,16,9,19,35,-18.574,-69.309,120.8,4.3
2013,7,13,6,8,32,-18.447,-69.605,140.4,4.6
2013,7,12,15,27,58,-20.471,-68.766,106,4.4
2013,7,10,18,19,42,-21.703,-68.618,122.9,4.7
2013,7,10,14,32,12,-19.302,-69.248,110,5.7
2013,7,9,20,51,47,-19.046,-69.025,111.5,5.3
2013,7,8,5,13,21,-20.702,-69.179,106.4,4.4
2013,7,6,19,40,28,-18.821,-69.302,99.2,4.9
2013,7,3,10,40,36,-19.274,-70.698,37.4,4.8
2013,6,28,15,38,12,-21.503,-68.682,142.8,4.1
2013,6,27,14,3,43,-20.423,-69.007,101.5,4.7
2013,6,24,4,52,25,-19.555,-70.901,45.8,4.4
2013,6,20,12,15,46,-21.233,-68.552,128.2,4.2
2013,6,18,14,10,37,-20.002,-69.215,107.1,4.5
