"latitude","longitude","year","month","day","magnitude","depth","hour","minute"
-56.710,-22.760,1994,2,9,3.0,0.00,12,15
-36.540,-9.750,1994,4,6,2.8,0.00,12,18
-40.970,-23.120,1994,6,1,3.3,0.00,21,22
-47.650,-19.380,1994,6,8,2.8,0.00,5,32
-38.290,-4.410,1994,6,18,2.9,4.00,21,2
-38.290,-4.410,1994,7,24,2.9,4.00,13,56
-38.290,-4.410,1994,8,5,2.8,4.00,12,56
-38.290,-4.410,1994,8,11,3.5,4.00,7,23
-36.540,-5.490,1994,8,26,3.0,0.00,1,31
-35.690,-5.460,1994,9,11,3.5,0.00,1,41
-38.290,-4.410,1994,9,20,2.8,4.00,7,9
-38.290,-4.410,1994,11,4,2.8,4.00,12,19
-44.400,-20.200,1994,11,13,3.0,0.00,4,47
-54.200,-12.470,1995,2,9,3.7,0.00,22,17
-48.390,-26.130,1995,3,11,2.8,0.00,3,52
-35.940,-5.370,1995,3,20,2.9,0.00,3,26
-47.670,-19.140,1995,4,21,3.5,0.00,8,51
-38.290,-4.410,1995,4,22,3.5,4.00,16,50
-48.310,-25.680,1995,5,2,3.1,0.00,16,49
-40.410,-3.910,1995,5,10,3.4,0.00,1,37
-47.650,-20.200,1995,5,26,2.9,0.00,19,43
-44.700,-20.010,1995,5,27,3.1,0.00,23,19
-47.500,-19.680,1995,5,30,3.0,0.00,19,43
-44.600,-25.150,1995,5,31,3.0,0.00,0,36
-47.660,-20.540,1995,6,2,2.9,0.00,9,32
-46.740,-18.030,1995,6,3,3.1,0.00,5,26
-48.410,-20.320,1995,6,6,2.8,0.00,0,32
-48.340,-10.790,1995,6,21,2.9,0.00,2,57
-50.540,-9.860,1995,8,10,2.9,0.00,19,16
-47.860,-19.170,1995,8,24,3.0,0.00,3,20
-43.940,-16.670,1995,8,27,3.7,0.00,20,8
-53.210,-23.730,1995,10,28,2.8,0.00,6,7
-46.380,-28.040,1996,1,13,3.2,0.00,0,33
-48.680,-21.950,1996,2,23,2.9,0.00,23,27
-48.200,-19.580,1996,2,28,2.8,0.00,5,34
-51.870,-15.610,1996,3,1,3.2,0.00,3,39
-34.660,-28.430,1996,3,12,4.6,0.00,10,18
-51.870,-15.610,1996,3,13,3.6,0.00,5,5
-44.240,-24.870,1996,3,28,3.1,0.00,15,5
-47.320,-21.290,1996,4,9,2.8,0.00,5,17
-45.380,-26.470,1996,4,24,3.0,0.00,20,3
-43.690,-18.120,1996,4,27,3.2,0.00,14,47
-51.870,-15.610,1996,5,10,3.9,0.00,6,0
-48.680,-22.730,1996,6,11,3.4,0.00,20,38
-45.680,-26.700,1996,6,13,2.8,0.00,3,50
-62.220,-10.750,1996,7,1,3.2,0.00,23,20
-57.020,-23.880,1996,7,27,3.0,0.00,23,34
-51.870,-15.610,1996,8,15,3.4,0.00,9,24
-51.870,-15.610,1996,8,21,3.0,0.00,20,30
-51.950,-15.790,1996,8,28,2.9,0.00,13,14
-51.870,-15.610,1996,8,29,3.0,0.00,15,8
-42.230,-15.810,1996,9,1,2.8,0.00,4,12
-51.930,-15.830,1996,9,1,2.8,0.00,17,26
-35.980,-8.280,1996,9,10,2.8,0.00,2,55
-51.930,-15.570,1996,9,12,3.0,0.00,7,1
-46.740,-21.040,1996,10,18,4.0,0.00,21,44
-40.500,-22.710,1996,10,26,4.0,0.00,20,30
-47.840,-24.410,1996,11,9,2.8,0.00,15,38
-50.110,-12.260,1996,11,13,3.4,0.00,23,39
-56.800,-11.390,1996,11,26,4.2,0.00,4,14
-51.870,-15.610,1996,12,10,3.5,0.00,17,44
-51.870,-15.610,1997,2,26,3.0,0.00,21,7
-40.790,-3.760,1997,4,22,3.2,0.00,14,29
-51.250,-7.140,1997,5,17,3.2,0.00,23,28
-49.500,-13.520,1997,5,27,3.5,0.00,20,7
