eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1975,12,8,8,21,0.0,,-44.159999999999997,-24.940000000000001,,,,0.0,,3.3999999999999999,,
,,1976,1,5,13,6,0.0,,-50.460000000000001,-15.35,,,,0.0,,3.7000000000000002,,
,,1976,1,23,0,0,0.0,,-50.420000000000002,-24.52,,,,0.0,,3.0,,
,,1976,2,22,3,24,0.0,,-59.229999999999997,0.34000000000000002,,,,5.0,,4.5999999999999996,,
,,1976,5,23,19,0,0.0,,-44.75,-20.280000000000001,,,,0.0,,3.2000000000000002,,
,,1976,5,25,8,30,0.0,,-39.57,-14.76,,,,0.0,,3.8999999999999999,,
,,1976,6,8,21,0,0.0,,-35.5,-5.7000000000000002,,,,0.0,,3.3999999999999999,,
,,1976,6,16,20,0,0.0,,-51.009999999999998,-22.84,,,,0.0,,3.8999999999999999,,
,,1976,7,12,14,0,0.0,,-40.25,-15.25,,,,0.0,,3.2000000000000002,,
,,1976,7,29,18,0,0.0,,-38.799999999999997,-4.8300000000000001,,,,0.0,,3.5,,
,,1976,8,11,20,0,0.0,,-39.600000000000001,-14.84,,,,0.0,,3.5,,
,,1976,10,8,20,1,0.0,,-59.799999999999997,-2.0,,,,0.0,,4.0,,
,,1977,2,25,13,40,0.0,,-35.75,-5.71,,,,0.0,,3.6000000000000001,,
,,1977,3,12,7,0,0.0,,-38.799999999999997,-4.8300000000000001,,,,0.0,,3.8999999999999999,,
,,1977,6,19,3,3,0.0,,-42.600000000000001,-23.300000000000001,,,,0.0,,3.5,,
,,1977,8,2,17,45,0.0,,-49.969999999999999,-0.080000000000000002,,,,0.0,,4.7999999999999998,,
,,1977,9,4,15,45,0.0,,-47.770000000000003,-20.73,,,,0.0,,2.7999999999999998,,
,,1977,11,16,23,20,0.0,,-45.600000000000001,-23.420000000000002,,,,0.0,,3.2999999999999998,,
,,1977,11,20,14,46,0.0,,-43.5,-15.800000000000001,,,,0.0,,3.7000000000000002,,
,,1978,2,10,0,0,0.0,,-36.030000000000001,-6.2800000000000002,,,,0.0,,3.7000000000000002,,
,,1978,3,17,20,45,0.0,,-47.770000000000003,-20.73,,,,0.0,,3.0,,
,,1978,3,19,5,33,0.0,,-48.5,-24.960000000000001,,,,0.0,,3.2999999999999998,,
,,1978,4,18,0,0,0.0,,-61.939999999999998,-10.890000000000001,,,,0.0,,3.5,,
,,1978,10,5,9,38,0.0,,-51.270000000000003,-16.100000000000001,,,,0.0,,2.7999999999999998,,
,,1979,1,16,5,38,0.0,,-58.700000000000003,-24.0,,,,0.0,,4.0,,
,,1979,1,21,17,49,0.0,,-56.359999999999999,-21.02,,,,0.0,,3.6000000000000001,,
,,1979,3,27,12,54,0.0,,-51.009999999999998,-22.84,,,,0.0,,3.7000000000000002,,
,,1979,6,13,16,52,0.0,,-45.729999999999997,-24.690000000000001,,,,0.0,,2.7999999999999998,,
,,1979,7,20,7,0,0.0,,-57.5,-24.0,,,,0.0,,3.0,,
,,1979,8,13,18,41,0.0,,-45.600000000000001,-25.199999999999999,,,,0.0,,3.0,,
,,1979,8,22,23,1,0.0,,-49.950000000000003,-15.26,,,,0.0,,3.5,,
,,1979,10,19,15,25,0.0,,-45.600000000000001,-23.420000000000002,,,,0.0,,3.0,,
,,1979,12,8,5,5,0.0,,-55.799999999999997,-20.0,,,,0.0,,3.7999999999999998,,
,,1980,3,6,9,46,0.0,,-71.159999999999997,-6.1699999999999999,,,,18.0,,4.7999999999999998,,
,,1980,7,3,22,10,0.0,,-47.329999999999998,-20.07,,,,0.0,,2.7999999999999998,,
,,1980,10,18,21,41,0.0,,-49.799999999999997,-0.40000000000000002,,,,0.0,,3.1000000000000001,,
,,1980,10,24,21,49,0.0,,-49.390000000000001,-14.41,,,,0.0,,3.1000000000000001,,
,,1980,11,5,1,22,0.0,,-50.299999999999997,-5.7999999999999998,,,,0.0,,3.5,,
,,1980,11,12,21,23,0.0,,-50.240000000000002,-8.0700000000000003,,,,0.0,,4.7000000000000002,,
,,1980,11,20,3,29,0.0,,-38.399999999999999,-4.2999999999999998,,,,5.0,,5.2000000000000002,,
,,1980,11,21,1,29,0.0,,-58.25,-26.25,,,,0.0,,3.7999999999999998,,
,,1980,12,14,0,0,0.0,,-56.200000000000003,-16.600000000000001,,,,0.0,,3.6000000000000001,,
,,1981,1,6,19,51,0.0,,-47.5,-5.0,,,,0.0,,3.3999999999999999,,
,,1981,1,18,16,19,0.0,,-46.700000000000003,-20.710000000000001,,,,0.0,,3.2999999999999998,,
,,1981,3,9,20,27,0.0,,-57.640000000000001,-11.01,,,,0.0,,3.7999999999999998,,
,,1981,3,24,22,10,0.0,,-48.340000000000003,-20.579999999999998,,,,0.0,,2.7999999999999998,,
,,1981,4,1,20,1,0.0,,-62.200000000000003,-10.74,,,,0.0,,3.2000000000000002,,
,,1981,5,7,3,44,0.0,,-39.5,-22.600000000000001,,,,0.0,,3.7000000000000002,,
,,1981,9,11,10,24,0.0,,-46.090000000000003,-21.449999999999999,,,,0.0,,3.1000000000000001,,
,,1981,10,13,8,5,0.0,,-54.549999999999997,-16.859999999999999,,,,0.0,,3.2000000000000002,,
,,1981,11,4,3,16,0.0,,-38.5,-8.5899999999999999,,,,0.0,,3.1000000000000001,,
,,1982,1,30,16,42,0.0,,-34.0,-4.0,,,,0.0,,3.5,,
,,1982,3,10,6,15,0.0,,-42.100000000000001,-23.399999999999999,,,,0.0,,2.7999999999999998,,
,,1982,3,10,7,57,0.0,,-42.100000000000001,-23.399999999999999,,,,0.0,,3.0,,
,,1982,3,12,17,14,0.0,,-41.630000000000003,-23.600000000000001,,,,0.0,,3.5,,
,,1982,3,29,7,47,0.0,,-38.229999999999997,-9.3100000000000005,,,,0.0,,3.6000000000000001,,
,,1982,4,8,5,58,0.0,,-58.100000000000001,-24.800000000000001,,,,12.0,,4.9000000000000004,,
,,1982,4,16,22,38,0.0,,-55.0,-22.199999999999999,,,,0.0,,3.3999999999999999,,
,,1982,5,2,8,30,0.0,,-46.649999999999999,-21.640000000000001,,,,0.0,,3.1000000000000001,,
,,1982,5,17,3,57,0.0,,-48.200000000000003,-12.699999999999999,,,,0.0,,3.0,,
,,1982,7,23,11,6,0.0,,-45.719999999999999,-14.26,,,,0.0,,2.8999999999999999,,
,,1982,8,26,1,7,0.0,,-47.100000000000001,-19.600000000000001,,,,0.0,,3.2000000000000002,,
,,1982,9,5,6,30,0.0,,-41.460000000000001,-16.510000000000002,,,,0.0,,3.2000000000000002,,
,,1982,9,17,12,28,0.0,,-45.420000000000002,-25.84,,,,0.0,,3.7999999999999998,,
,,1982,9,21,1,42,0.0,,-44.799999999999997,-18.800000000000001,,,,0.0,,3.1000000000000001,,
,,1982,10,10,19,28,0.0,,-45.5,-12.300000000000001,,,,0.0,,2.7999999999999998,,
,,1982,11,24,23,3,0.0,,-45.799999999999997,-20.760000000000002,,,,0.0,,3.2000000000000002,,
,,1983,1,2,6,40,0.0,,-47.799999999999997,-24.300000000000001,,,,0.0,,2.8999999999999999,,
,,1983,2,8,18,38,0.0,,-60.18,-26.280000000000001,,,,0.0,,4.7999999999999998,,
,,1983,2,21,5,38,0.0,,-62.200000000000003,-10.699999999999999,,,,0.0,,3.2000000000000002,,
,,1983,3,7,5,49,0.0,,-41.700000000000003,-16.469999999999999,,,,0.0,,2.8999999999999999,,
,,1983,3,7,11,51,0.0,,-41.700000000000003,-16.469999999999999,,,,0.0,,3.1000000000000001,,
,,1983,5,7,18,30,0.0,,-35.579999999999998,-8.6699999999999999,,,,0.0,,3.5,,
,,1983,6,1,14,57,0.0,,-44.630000000000003,-14.32,,,,0.0,,3.2000000000000002,,
,,1983,8,5,6,21,0.0,,-62.140000000000001,-3.5800000000000001,,,,23.0,,5.5,,
,,1983,8,5,8,24,0.0,,-62.170000000000002,-3.5899999999999999,,,,0.0,,3.5,,
,,1983,9,2,16,25,0.0,,-50.799999999999997,-14.9,,,,0.0,,2.7999999999999998,,
,,1983,10,1,18,44,0.0,,-63.700000000000003,-11.4,,,,0.0,,3.6000000000000001,,
,,1983,11,18,8,41,0.0,,-38.700000000000003,-5.0999999999999996,,,,0.0,,2.7999999999999998,,
,,1983,12,4,7,17,0.0,,-50.57,-3.1699999999999999,,,,0.0,,3.7000000000000002,,
,,1983,12,7,18,4,0.0,,-45.0,-17.199999999999999,,,,0.0,,2.8999999999999999,,
,,1983,12,16,23,53,0.0,,-35.799999999999997,-8.3300000000000001,,,,0.0,,3.5,,
,,1984,1,5,10,30,0.0,,-50.32,-1.1000000000000001,,,,0.0,,3.0,,
,,1984,1,5,17,23,0.0,,-46.399999999999999,-17.399999999999999,,,,0.0,,2.7999999999999998,,
,,1984,2,22,8,0,0.0,,-40.700000000000003,-23.469999999999999,,,,0.0,,3.7000000000000002,,
,,1984,3,7,3,18,0.0,,-58.189999999999998,-24.440000000000001,,,,0.0,,3.2999999999999998,,
,,1984,4,8,20,56,0.0,,-46.759999999999998,-20.800000000000001,,,,0.0,,3.7999999999999998,,
,,1984,5,25,8,36,0.0,,-43.350000000000001,-24.920000000000002,,,,0.0,,3.5,,
,,1984,6,26,20,36,0.0,,-49.93,-14.43,,,,0.0,,3.1000000000000001,,
,,1984,8,9,19,37,0.0,,-54.530000000000001,-21.280000000000001,,,,0.0,,3.0,,
,,1984,9,17,8,9,0.0,,-62.100000000000001,-10.699999999999999,,,,0.0,,3.3999999999999999,,
,,1984,10,9,20,20,0.0,,-43.909999999999997,-20.98,,,,0.0,,3.0,,
,,1984,10,20,13,18,0.0,,-41.700000000000003,-16.469999999999999,,,,0.0,,3.0,,
,,1984,11,8,12,5,0.0,,-35.920000000000002,-8.1799999999999997,,,,0.0,,3.7999999999999998,,
,,1984,11,21,20,15,0.0,,-50.700000000000003,-6.9000000000000004,,,,0.0,,3.7000000000000002,,
,,1984,12,9,3,22,0.0,,-44.130000000000003,-16.620000000000001,,,,0.0,,3.2000000000000002,,
,,1984,12,12,21,18,0.0,,-48.840000000000003,-12.93,,,,0.0,,3.2999999999999998,,
,,1985,4,12,14,34,0.0,,-60.549999999999997,-23.940000000000001,,,,21.0,,5.2999999999999998,,
,,1985,6,8,4,15,0.0,,-44.399999999999999,-17.300000000000001,,,,0.0,,2.7999999999999998,,
,,1985,7,20,1,5,0.0,,-48.030000000000001,-13.09,,,,0.0,,3.6000000000000001,,
,,1985,7,20,21,21,0.0,,-48.060000000000002,-13.08,,,,0.0,,3.5,,
,,1985,12,17,12,26,0.0,,-46.060000000000002,-23.170000000000002,,,,0.0,,3.0,,
,,1986,1,14,20,14,0.0,,-50.32,-15.08,,,,0.0,,3.7000000000000002,,
,,1986,2,21,21,41,0.0,,-48.420000000000002,-12.91,,,,0.0,,3.1000000000000001,,
,,1986,6,12,1,43,0.0,,-40.399999999999999,-13.9,,,,0.0,,3.0,,
,,1986,6,14,21,26,0.0,,-38.590000000000003,-6.8600000000000003,,,,0.0,,3.2000000000000002,,
,,1986,8,1,19,8,0.0,,-42.280000000000001,-19.850000000000001,,,,0.0,,3.2999999999999998,,
,,1986,8,21,9,34,0.0,,-35.729999999999997,-5.5199999999999996,,,,0.0,,4.2000000000000002,,
,,1986,8,21,9,41,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2000000000000002,,
,,1986,11,17,23,23,0.0,,-56.579999999999998,-11.56,,,,0.0,,3.6000000000000001,,
,,1986,11,30,5,19,0.0,,-35.759999999999998,-5.54,,,,5.0,,5.0999999999999996,,
,,1986,11,30,5,26,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.8999999999999999,,
,,1986,11,30,6,7,0.0,,-35.75,-5.5300000000000002,,,,0.0,,4.0,,
,,1986,11,30,6,10,0.0,,-35.75,-5.5300000000000002,,,,0.0,,4.2000000000000002,,
,,1986,11,30,6,58,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.7999999999999998,,
,,1986,11,30,7,2,0.0,,-35.75,-5.5300000000000002,,,,0.0,,4.2000000000000002,,
,,1986,11,30,14,1,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.7999999999999998,,
,,1986,11,30,23,1,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2999999999999998,,
,,1986,11,30,23,2,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2000000000000002,,
,,1986,11,30,23,3,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2999999999999998,,
,,1987,2,25,21,37,0.0,,-39.810000000000002,-3.7200000000000002,,,,0.0,,3.0,,
,,1987,4,28,4,59,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.6000000000000001,,
,,1987,6,2,19,16,0.0,,-44.5,-20.5,,,,0.0,,2.7999999999999998,,
,,1987,8,27,13,1,0.0,,-44.100000000000001,-25.0,,,,0.0,,3.6000000000000001,,
,,1987,9,5,10,10,0.0,,-46.200000000000003,-21.300000000000001,,,,0.0,,2.8999999999999999,,
,,1987,9,23,1,35,0.0,,-43.990000000000002,-19.550000000000001,,,,0.0,,3.2000000000000002,,
,,1987,9,28,20,18,0.0,,-44.0,-18.899999999999999,,,,0.0,,3.1000000000000001,,
,,1987,10,14,1,8,0.0,,-55.149999999999999,-2.4300000000000002,,,,0.0,,3.5,,
,,1987,10,15,9,1,0.0,,-56.899999999999999,-11.6,,,,0.0,,3.8999999999999999,,
,,1987,10,24,21,23,0.0,,-73.939999999999998,-7.0099999999999998,,,,0.0,,5.2000000000000002,,
,,1987,11,30,1,23,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.0,,
,,1987,12,11,9,17,0.0,,-51.200000000000003,-6.7999999999999998,,,,0.0,,3.0,,
,,1988,4,1,0,36,0.0,,-40.369999999999997,-3.9500000000000002,,,,8.0,,4.0999999999999996,,
,,1988,4,1,0,37,0.0,,-40.369999999999997,-3.9500000000000002,,,,8.0,,3.8999999999999999,,
,,1988,4,5,3,0,0.0,,-51.340000000000003,-22.100000000000001,,,,0.0,,3.7999999999999998,,
,,1988,6,5,16,50,0.0,,-61.659999999999997,0.92000000000000004,,,,0.0,,3.7999999999999998,,
,,1988,6,11,23,59,0.0,,-41.479999999999997,-4.2999999999999998,,,,0.0,,3.1000000000000001,,
,,1988,6,24,10,1,0.0,,-57.969999999999999,-20.66,,,,0.0,,3.8999999999999999,,
,,1988,6,26,3,24,0.0,,-52.729999999999997,-36.270000000000003,,,,18.0,,4.9000000000000004,,
,,1988,6,29,13,14,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.8999999999999999,,
,,1988,7,19,10,30,0.0,,-47.75,-20.73,,,,0.0,,3.0,,
,,1988,8,11,7,6,0.0,,-56.990000000000002,-11.619999999999999,,,,0.0,,3.7000000000000002,,
,,1988,8,11,8,6,0.0,,-57.950000000000003,-11.630000000000001,,,,0.0,,4.0,,
,,1988,8,30,15,40,0.0,,-47.960000000000001,-6.0899999999999999,,,,0.0,,3.5,,
,,1988,9,3,7,29,0.0,,-59.759999999999998,-3.1000000000000001,,,,0.0,,3.7999999999999998,,
,,1988,10,1,1,39,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2999999999999998,,
,,1988,10,1,16,43,0.0,,-35.75,-5.5300000000000002,,,,0.0,,3.0,,
,,1988,10,12,8,16,0.0,,-46.969999999999999,-27.300000000000001,,,,0.0,,2.8999999999999999,,
,,1988,12,10,9,52,0.0,,-59.380000000000003,-0.72999999999999998,,,,0.0,,3.7999999999999998,,
,,1988,12,23,15,34,0.0,,-44.210000000000001,-23.0,,,,0.0,,2.7999999999999998,,
,,1989,1,7,3,1,0.0,,-48.109999999999999,-11.619999999999999,,,,0.0,,3.7999999999999998,,
,,1989,1,7,11,36,0.0,,-51.009999999999998,-22.93,,,,0.0,,3.7000000000000002,,
,,1989,2,3,19,32,0.0,,-45.469999999999999,-23.280000000000001,,,,0.0,,2.7999999999999998,,
,,1989,3,9,1,44,0.0,,-40.689999999999998,-24.510000000000002,,,,0.0,,3.3999999999999999,,
,,1989,3,9,19,20,0.0,,-45.700000000000003,-19.399999999999999,,,,0.0,,3.3999999999999999,,
,,1989,3,10,4,11,0.0,,-35.689999999999998,-5.46,,,,8.0,,5.0,,
,,1989,3,10,7,13,0.0,,-35.689999999999998,-5.46,,,,0.0,,3.2000000000000002,,
