eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1922,3,28,3,57,54.0,,-68.0,-21.0,,,,90.0,,7.2000000000000002,,
,,1922,5,11,6,45,35.0,,-59.5,12.0,,,,35.0,,6.0,,
,,1922,7,10,9,38,10.0,,-62.5,-19.0,,,,630.0,,6.7999999999999998,,
,,1922,9,4,17,4,8.0,,-69.5,-10.5,,,,660.0,,6.9000000000000004,,
,,1922,10,11,14,49,50.0,,-72.5,-16.0,,,,50.0,,7.4000000000000004,,
,,1922,11,7,23,0,9.0,,-72.0,-28.0,,,,35.0,,7.0,,
,,1922,11,11,4,32,36.0,,-70.0,-28.5,,,,35.0,,8.3000000000000007,,
,,1922,12,18,12,35,3.0,,-67.0,19.0,,,,35.0,,6.2000000000000002,,
,,1923,3,15,6,3,12.0,,-68.0,20.0,,,,35.0,,5.5999999999999996,,
,,1923,5,4,22,26,45.0,,-71.75,-28.75,,,,60.0,,7.0,,
,,1923,8,8,12,1,27.0,,-63.5,10.5,,,,110.0,,6.5,,
,,1923,8,8,12,17,25.0,,-30.0,0.5,,,,35.0,,6.2000000000000002,,
,,1923,9,2,22,38,12.0,,-68.5,-16.0,,,,150.0,,7.0,,
,,1923,9,26,2,29,20.0,,-29.5,1.5,,,,35.0,,6.0,,
,,1923,11,3,8,37,46.0,,-73.5,19.5,,,,35.0,,6.0,,
,,1923,11,6,17,15,17.0,,-73.5,-38.0,,,,35.0,,6.2000000000000002,,
,,1924,1,30,20,54,48.0,,-77.5,20.0,,,,35.0,,5.5999999999999996,,
,,1924,3,4,10,7,42.0,,-84.0,9.75,,,,35.0,,7.0,,
,,1924,3,11,22,44,23.0,,-82.0,-4.0,,,,60.0,,6.7999999999999998,,
,,1924,6,20,16,21,34.0,,-26.0,0.0,,,,35.0,,5.5999999999999996,,
,,1924,6,22,22,29,8.0,,-78.5,5.5,,,,60.0,,6.5,,
,,1924,7,6,14,18,41.0,,-78.0,7.0,,,,35.0,,6.7999999999999998,,
,,1924,7,22,4,4,18.0,,-80.0,-2.0,,,,250.0,,6.5,,
,,1924,10,12,19,34,10.0,,-29.0,-0.5,,,,35.0,,6.5,,
,,1924,10,14,5,0,19.0,,-45.0,24.0,,,,35.0,,6.5,,
,,1924,10,18,23,5,27.0,,-80.0,2.5,,,,35.0,,6.7999999999999998,,
,,1925,1,5,13,45,46.0,,-73.5,-14.0,,,,200.0,,6.5,,
,,1925,1,21,18,11,10.0,,-25.0,-56.0,,,,60.0,,6.7999999999999998,,
,,1925,3,29,21,12,37.0,,-78.0,8.0,,,,60.0,,7.0999999999999996,,
,,1925,5,15,11,56,57.0,,-71.5,-26.0,,,,50.0,,7.0999999999999996,,
,,1925,6,7,23,41,42.0,,-78.0,3.0,,,,170.0,,6.7999999999999998,,
,,1925,6,14,22,28,16.0,,-83.0,18.0,,,,90.0,,6.5,,
,,1925,6,23,16,46,58.0,,-77.0,0.0,,,,180.0,,6.7999999999999998,,
