Longitude,Latitude,Rate
-37.00000,-25.00000,0.068
-36.00000,-25.00000,0.053
-35.00000,-25.00000,0.047
-34.00000,-25.00000,0.040
-33.00000,-25.00000,0.032
-32.00000,-25.00000,0.026
-31.00000,-25.00000,0.020
-80.00000,-24.00000,0.006
-79.00000,-24.00000,0.006
-78.00000,-24.00000,0.006
-77.00000,-24.00000,0.007
-76.00000,-24.00000,0.008
-75.00000,-24.00000,0.009
-74.00000,-24.00000,0.011
-73.00000,-24.00000,0.014
-72.00000,-24.00000,0.015
-71.00000,-24.00000,0.019
-70.00000,-24.00000,0.023
-69.00000,-24.00000,0.027
-68.00000,-24.00000,0.032
-67.00000,-24.00000,0.037
-66.00000,-24.00000,0.042
-65.00000,-24.00000,0.046
-64.00000,-24.00000,0.051
-63.00000,-24.00000,0.057
-62.00000,-24.00000,0.064
-61.00000,-24.00000,0.069
-60.00000,-24.00000,0.080
-59.00000,-24.00000,0.084
-58.00000,-24.00000,0.087
-57.00000,-24.00000,0.099
-56.00000,-24.00000,0.118
-55.00000,-24.00000,0.126
-54.00000,-24.00000,0.130
-53.00000,-24.00000,0.129
-52.00000,-24.00000,0.131
-51.00000,-24.00000,0.133
-50.00000,-24.00000,0.143
-49.00000,-24.00000,0.158
-48.00000,-24.00000,0.164
-47.00000,-24.00000,0.166
-46.00000,-24.00000,0.181
-45.00000,-24.00000,0.177
-44.00000,-24.00000,0.159
-43.00000,-24.00000,0.153
-42.00000,-24.00000,0.153
-41.00000,-24.00000,0.139
-40.00000,-24.00000,0.126
-39.00000,-24.00000,0.105
-38.00000,-24.00000,0.088
-37.00000,-24.00000,0.072
-36.00000,-24.00000,0.056
-35.00000,-24.00000,0.049
-34.00000,-24.00000,0.042
-33.00000,-24.00000,0.033
-32.00000,-24.00000,0.026
-31.00000,-24.00000,0.021
-80.00000,-23.00000,0.006
-79.00000,-23.00000,0.007
-78.00000,-23.00000,0.007
-77.00000,-23.00000,0.007
-76.00000,-23.00000,0.008
-75.00000,-23.00000,0.010
-74.00000,-23.00000,0.012
-73.00000,-23.00000,0.014
-72.00000,-23.00000,0.016
-71.00000,-23.00000,0.020
-70.00000,-23.00000,0.024
-69.00000,-23.00000,0.028
-68.00000,-23.00000,0.033
-67.00000,-23.00000,0.038
-66.00000,-23.00000,0.044
-65.00000,-23.00000,0.049
-64.00000,-23.00000,0.055
-63.00000,-23.00000,0.061
-62.00000,-23.00000,0.066
-61.00000,-23.00000,0.071
-60.00000,-23.00000,0.081
-59.00000,-23.00000,0.085
-58.00000,-23.00000,0.088
-57.00000,-23.00000,0.099
-56.00000,-23.00000,0.118
-55.00000,-23.00000,0.133
-54.00000,-23.00000,0.140
-53.00000,-23.00000,0.140
-52.00000,-23.00000,0.144
-51.00000,-23.00000,0.149
-50.00000,-23.00000,0.164
-49.00000,-23.00000,0.172
-48.00000,-23.00000,0.175
-47.00000,-23.00000,0.185
-46.00000,-23.00000,0.190
-45.00000,-23.00000,0.194
-44.00000,-23.00000,0.179
-43.00000,-23.00000,0.170
-42.00000,-23.00000,0.166
-41.00000,-23.00000,0.149
-40.00000,-23.00000,0.130
-39.00000,-23.00000,0.109
-38.00000,-23.00000,0.089
-37.00000,-23.00000,0.072
-36.00000,-23.00000,0.058
-35.00000,-23.00000,0.051
-34.00000,-23.00000,0.042
-33.00000,-23.00000,0.033
-32.00000,-23.00000,0.026
-31.00000,-23.00000,0.020
-80.00000,-22.00000,0.007
-79.00000,-22.00000,0.007
-78.00000,-22.00000,0.007
-77.00000,-22.00000,0.008
-76.00000,-22.00000,0.009
-75.00000,-22.00000,0.010
-74.00000,-22.00000,0.012
-73.00000,-22.00000,0.015
-72.00000,-22.00000,0.017
-71.00000,-22.00000,0.021
-70.00000,-22.00000,0.025
-69.00000,-22.00000,0.029
-68.00000,-22.00000,0.034
-67.00000,-22.00000,0.039
-66.00000,-22.00000,0.045
-65.00000,-22.00000,0.051
-64.00000,-22.00000,0.056
-63.00000,-22.00000,0.062
-62.00000,-22.00000,0.067
-61.00000,-22.00000,0.074
-60.00000,-22.00000,0.081
-59.00000,-22.00000,0.084
-58.00000,-22.00000,0.088
-57.00000,-22.00000,0.098
-56.00000,-22.00000,0.117
-55.00000,-22.00000,0.138
-54.00000,-22.00000,0.150
-53.00000,-22.00000,0.150
-52.00000,-22.00000,0.156
-51.00000,-22.00000,0.163
-50.00000,-22.00000,0.182
-49.00000,-22.00000,0.187
-48.00000,-22.00000,0.188
-47.00000,-22.00000,0.189
-46.00000,-22.00000,0.192
-45.00000,-22.00000,0.198
-44.00000,-22.00000,0.193
-43.00000,-22.00000,0.182
-42.00000,-22.00000,0.174
-41.00000,-22.00000,0.148
-40.00000,-22.00000,0.128
-39.00000,-22.00000,0.107
-38.00000,-22.00000,0.089
-37.00000,-22.00000,0.071
-36.00000,-22.00000,0.060
-35.00000,-22.00000,0.051
-34.00000,-22.00000,0.041
-33.00000,-22.00000,0.033
-32.00000,-22.00000,0.026
-31.00000,-22.00000,0.020
-80.00000,-21.00000,0.007
-79.00000,-21.00000,0.008
-78.00000,-21.00000,0.009
-77.00000,-21.00000,0.009
-76.00000,-21.00000,0.010
-75.00000,-21.00000,0.011
-74.00000,-21.00000,0.013
-73.00000,-21.00000,0.015
-72.00000,-21.00000,0.018
-71.00000,-21.00000,0.022
-70.00000,-21.00000,0.026
-69.00000,-21.00000,0.030
-68.00000,-21.00000,0.035
-67.00000,-21.00000,0.040
-66.00000,-21.00000,0.045
-65.00000,-21.00000,0.051
-64.00000,-21.00000,0.056
-63.00000,-21.00000,0.062
-62.00000,-21.00000,0.066
-61.00000,-21.00000,0.075
-60.00000,-21.00000,0.079
-59.00000,-21.00000,0.083
-58.00000,-21.00000,0.086
-57.00000,-21.00000,0.096
-56.00000,-21.00000,0.114
-55.00000,-21.00000,0.134
-54.00000,-21.00000,0.151
-53.00000,-21.00000,0.160
-52.00000,-21.00000,0.165
-51.00000,-21.00000,0.173
-50.00000,-21.00000,0.192
-49.00000,-21.00000,0.203
-48.00000,-21.00000,0.204
-47.00000,-21.00000,0.190
-46.00000,-21.00000,0.196
-45.00000,-21.00000,0.196
-44.00000,-21.00000,0.197
-43.00000,-21.00000,0.190
-42.00000,-21.00000,0.175
-41.00000,-21.00000,0.142
