Longitude,Latitude,Depth,M_min,M_bin,Smoothed Rate
-79.00000,-16.00000,0.00000,3.00000,0.50000,3.421e-06 1.079e-05 1.417e-05 9.706e-06 2.764e-05 1.427e-06 1.556e-07 0.0
-79.00000,-15.00000,0.00000,3.00000,0.50000,3.451e-06 1.094e-05 1.441e-05 9.874e-06 2.802e-05 1.426e-06 1.557e-07 0.0
-79.00000,-14.00000,0.00000,3.00000,0.50000,3.478e-06 1.106e-05 1.465e-05 1.002e-05 2.836e-05 1.424e-06 1.558e-07 0.0
-79.00000,-13.00000,0.00000,3.00000,0.50000,3.493e-06 1.118e-05 1.487e-05 1.015e-05 2.865e-05 1.422e-06 1.558e-07 0.0
-79.00000,-12.00000,0.00000,3.00000,0.50000,3.512e-06 1.129e-05 1.506e-05 1.026e-05 2.891e-05 1.42e-06 1.558e-07 0.0
-79.00000,-11.00000,0.00000,3.00000,0.50000,3.527e-06 1.137e-05 1.523e-05 1.034e-05 2.911e-05 1.418e-06 1.557e-07 0.0
-79.00000,-10.00000,0.00000,3.00000,0.50000,3.538e-06 1.143e-05 1.537e-05 1.04e-05 2.927e-05 1.415e-06 1.557e-07 0.0
-79.00000,-9.00000,0.00000,3.00000,0.50000,3.544e-06 1.146e-05 1.549e-05 1.043e-05 2.937e-05 1.411e-06 1.556e-07 0.0
-79.00000,-8.00000,0.00000,3.00000,0.50000,3.545e-06 1.148e-05 1.559e-05 1.043e-05 2.943e-05 1.408e-06 1.555e-07 0.0
-79.00000,-7.00000,0.00000,3.00000,0.50000,3.541e-06 1.147e-05 1.564e-05 1.041e-05 2.943e-05 1.404e-06 1.554e-07 0.0
-79.00000,-6.00000,0.00000,3.00000,0.50000,3.533e-06 1.144e-05 1.566e-05 1.036e-05 2.938e-05 1.4e-06 1.552e-07 0.0
-79.00000,-5.00000,0.00000,3.00000,0.50000,3.52e-06 1.139e-05 1.564e-05 1.029e-05 2.927e-05 1.395e-06 1.551e-07 0.0
-79.00000,-4.00000,0.00000,3.00000,0.50000,3.502e-06 1.13e-05 1.559e-05 1.019e-05 2.912e-05 1.391e-06 1.549e-07 0.0
-79.00000,-3.00000,0.00000,3.00000,0.50000,3.479e-06 1.12e-05 1.551e-05 1.007e-05 2.891e-05 1.386e-06 1.547e-07 0.0
-79.00000,-2.00000,0.00000,3.00000,0.50000,3.453e-06 1.109e-05 1.539e-05 9.926e-06 2.866e-05 1.38e-06 1.544e-07 0.0
-79.00000,-1.00000,0.00000,3.00000,0.50000,3.423e-06 1.096e-05 1.525e-05 9.764e-06 2.836e-05 1.375e-06 1.541e-07 0.0
-79.00000,0.00000,0.00000,3.00000,0.50000,3.389e-06 1.081e-05 1.508e-05 9.584e-06 2.802e-05 1.369e-06 1.538e-07 0.0
-79.00000,1.00000,0.00000,3.00000,0.50000,3.343e-06 1.065e-05 1.488e-05 9.39e-06 2.764e-05 1.363e-06 1.535e-07 0.0
-79.00000,2.00000,0.00000,3.00000,0.50000,3.303e-06 1.047e-05 1.466e-05 9.181e-06 2.722e-05 1.356e-06 1.532e-07 0.0
-79.00000,3.00000,0.00000,3.00000,0.50000,3.261e-06 1.029e-05 1.441e-05 8.962e-06 2.677e-05 1.349e-06 1.528e-07 0.0
-79.00000,4.00000,0.00000,3.00000,0.50000,3.216e-06 1.009e-05 1.415e-05 8.734e-06 2.629e-05 1.342e-06 1.525e-07 0.0
-79.00000,5.00000,0.00000,3.00000,0.50000,3.17e-06 9.893e-06 1.388e-05 8.499e-06 2.578e-05 1.335e-06 1.52e-07 0.0
-79.00000,6.00000,0.00000,3.00000,0.50000,3.122e-06 9.692e-06 1.359e-05 8.259e-06 2.526e-05 1.328e-06 1.516e-07 0.0
-79.00000,7.00000,0.00000,3.00000,0.50000,3.074e-06 9.489e-06 1.329e-05 8.016e-06 2.471e-05 1.32e-06 1.512e-07 0.0
-79.00000,8.00000,0.00000,3.00000,0.50000,3.024e-06 9.284e-06 1.298e-05 7.772e-06 2.415e-05 1.312e-06 1.507e-07 0.0
-79.00000,9.00000,0.00000,3.00000,0.50000,2.975e-06 9.079e-06 1.267e-05 7.528e-06 2.358e-05 1.304e-06 1.502e-07 0.0
-79.00000,10.00000,0.00000,3.00000,0.50000,2.924e-06 8.875e-06 1.235e-05 7.286e-06 2.299e-05 1.296e-06 1.497e-07 0.0
-79.00000,11.00000,0.00000,3.00000,0.50000,2.875e-06 8.658e-06 1.201e-05 7.046e-06 2.241e-05 1.287e-06 1.492e-07 0.0
-79.00000,12.00000,0.00000,3.00000,0.50000,2.825e-06 8.458e-06 1.169e-05 6.81e-06 2.182e-05 1.279e-06 1.486e-07 0.0
-78.00000,-37.00000,0.00000,3.00000,0.50000,3.153e-06 8.604e-06 1.013e-05 6.255e-06 1.974e-05 1.707e-06 1.777e-07 0.0
-78.00000,-36.00000,0.00000,3.00000,0.50000,3.214e-06 8.846e-06 1.048e-05 6.545e-06 2.05e-05 1.716e-06 1.785e-07 0.0
-78.00000,-35.00000,0.00000,3.00000,0.50000,3.278e-06 9.103e-06 1.085e-05 6.852e-06 2.13e-05 1.724e-06 1.793e-07 0.0
