Longitude,Latitude,Smoothed Rate
-79.00000,-22.00000,-5.62214e+00
-79.00000,-21.00000,-5.60022e+00
-79.00000,-20.00000,-5.57929e+00
-79.00000,-19.00000,-5.55946e+00
-79.00000,-18.00000,-5.54055e+00
-79.00000,-17.00000,-5.52329e+00
-79.00000,-16.00000,-5.50760e+00
-79.00000,-15.00000,-5.49333e+00
-79.00000,-14.00000,-5.48065e+00
-79.00000,-13.00000,-5.46954e+00
-79.00000,-12.00000,-5.45976e+00
-79.00000,-11.00000,-5.45210e+00
-79.00000,-10.00000,-5.44610e+00
-79.00000,-9.00000,-5.44217e+00
-79.00000,-8.00000,-5.43970e+00
-79.00000,-7.00000,-5.43953e+00
-79.00000,-6.00000,-5.44123e+00
-79.00000,-5.00000,-5.44496e+00
-79.00000,-4.00000,-5.45073e+00
-79.00000,-3.00000,-5.45832e+00
-79.00000,-2.00000,-5.46764e+00
-79.00000,-1.00000,-5.47865e+00
-79.00000,0.00000,-5.49144e+00
-79.00000,1.00000,-5.50596e+00
-79.00000,2.00000,-5.52206e+00
-79.00000,3.00000,-5.53952e+00
-79.00000,4.00000,-5.55841e+00
-79.00000,5.00000,-5.57839e+00
-79.00000,6.00000,-5.59945e+00
-79.00000,7.00000,-5.62172e+00
-79.00000,8.00000,-5.64492e+00
-79.00000,9.00000,-5.66884e+00
-79.00000,10.00000,-5.69386e+00
-79.00000,11.00000,-5.71989e+00
-79.00000,12.00000,-5.74603e+00
-78.00000,-37.00000,-5.80955e+00
-78.00000,-36.00000,-5.77571e+00
-78.00000,-35.00000,-5.74122e+00
-78.00000,-34.00000,-5.70651e+00
-78.00000,-33.00000,-5.67127e+00
-78.00000,-32.00000,-5.63556e+00
-78.00000,-31.00000,-5.59968e+00
-78.00000,-30.00000,-5.56366e+00
-78.00000,-29.00000,-5.52718e+00
-78.00000,-28.00000,-5.49106e+00
-78.00000,-27.00000,-5.45449e+00
-78.00000,-26.00000,-5.41827e+00
-78.00000,-25.00000,-5.38224e+00
-78.00000,-24.00000,-5.34681e+00
-78.00000,-23.00000,-5.31171e+00
-78.00000,-22.00000,-5.27731e+00
-78.00000,-21.00000,-5.24383e+00
-78.00000,-20.00000,-5.21143e+00
-78.00000,-19.00000,-5.18018e+00
-78.00000,-18.00000,-5.15064e+00
-78.00000,-17.00000,-5.12258e+00
-78.00000,-16.00000,-5.09642e+00
-78.00000,-15.00000,-5.07234e+00
-78.00000,-14.00000,-5.05078e+00
-78.00000,-13.00000,-5.03170e+00
-78.00000,-12.00000,-5.01543e+00
-78.00000,-11.00000,-5.00196e+00
-78.00000,-10.00000,-4.99170e+00
-78.00000,-9.00000,-4.98465e+00
-78.00000,-8.00000,-4.98078e+00
-78.00000,-7.00000,-4.98046e+00
-78.00000,-6.00000,-4.98325e+00
-78.00000,-5.00000,-4.98937e+00
-78.00000,-4.00000,-4.99885e+00
-78.00000,-3.00000,-5.01133e+00
-78.00000,-2.00000,-5.02703e+00
-78.00000,-1.00000,-5.04531e+00
-78.00000,0.00000,-5.06631e+00
-78.00000,1.00000,-5.08989e+00
-78.00000,2.00000,-5.11630e+00
-78.00000,3.00000,-5.14409e+00
-78.00000,4.00000,-5.17398e+00
-78.00000,5.00000,-5.20515e+00
-78.00000,6.00000,-5.23779e+00
-78.00000,7.00000,-5.27153e+00
-78.00000,8.00000,-5.30654e+00
-78.00000,9.00000,-5.34206e+00
-78.00000,10.00000,-5.37860e+00
-78.00000,11.00000,-5.41562e+00
-78.00000,12.00000,-5.45282e+00
-77.00000,-37.00000,-5.64268e+00
-77.00000,-36.00000,-5.60246e+00
-77.00000,-35.00000,-5.56099e+00
