Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
-37.50000,12.50000,15.000,0.00000e+00,4.74773e-01,1.0000
-36.50000,12.50000,15.000,0.00000e+00,-2.04550e-01,1.0000
-35.50000,12.50000,15.000,0.00000e+00,-4.91223e-01,1.0000
-34.50000,12.50000,15.000,0.00000e+00,-3.82440e-01,1.0000
-33.50000,12.50000,15.000,0.00000e+00,-6.50960e-01,1.0000
-32.50000,12.50000,15.000,0.00000e+00,-1.38665e+00,1.0000
-31.50000,12.50000,15.000,0.00000e+00,-2.65442e+00,1.0000
-30.50000,12.50000,15.000,0.00000e+00,nan,1.0000
-79.50000,11.50000,15.000,8.72157e+01,2.65997e+00,1.0000
-78.50000,11.50000,15.000,0.00000e+00,2.71201e+00,1.0000
-77.50000,11.50000,15.000,8.72157e+01,2.73828e+00,1.0000
-76.50000,11.50000,15.000,0.00000e+00,2.63893e+00,1.0000
-75.50000,11.50000,15.000,8.72157e+01,2.44664e+00,1.0000
-74.50000,11.50000,15.000,8.72157e+01,2.36933e+00,1.0000
-73.50000,11.50000,15.000,2.61647e+02,2.47926e+00,1.0000
-72.50000,11.50000,15.000,2.61647e+02,2.57034e+00,1.0000
-71.50000,11.50000,15.000,4.36079e+01,2.63852e+00,1.0000
-70.50000,11.50000,15.000,1.30824e+02,2.74151e+00,1.0000
-69.50000,11.50000,15.000,3.92471e+02,2.73347e+00,1.0000
-68.50000,11.50000,15.000,1.74431e+02,2.57845e+00,1.0000
-67.50000,11.50000,15.000,1.30824e+02,2.42452e+00,1.0000
-66.50000,11.50000,15.000,4.36079e+01,2.33335e+00,1.0000
-65.50000,11.50000,15.000,0.00000e+00,2.35540e+00,1.0000
-64.50000,11.50000,15.000,8.72157e+01,2.51238e+00,1.0000
-63.50000,11.50000,15.000,3.05255e+02,2.74635e+00,1.0000
-62.50000,11.50000,15.000,4.36079e+02,2.95193e+00,1.0000
-61.50000,11.50000,15.000,7.84941e+02,3.09686e+00,1.0000
-60.50000,11.50000,15.000,2.83451e+03,3.12651e+00,1.0000
-59.50000,11.50000,15.000,1.00298e+03,2.97082e+00,1.0000
-58.50000,11.50000,15.000,3.92471e+02,2.62765e+00,1.0000
-57.50000,11.50000,15.000,1.74431e+02,2.15643e+00,1.0000
-56.50000,11.50000,15.000,0.00000e+00,1.61833e+00,1.0000
-55.50000,11.50000,15.000,0.00000e+00,1.10954e+00,1.0000
-54.50000,11.50000,15.000,0.00000e+00,8.51436e-01,1.0000
-53.50000,11.50000,15.000,0.00000e+00,7.71037e-01,1.0000
-52.50000,11.50000,15.000,0.00000e+00,5.54744e-01,1.0000
-51.50000,11.50000,15.000,0.00000e+00,7.00554e-01,1.0000
-50.50000,11.50000,15.000,4.36079e+01,1.16513e+00,1.0000
-49.50000,11.50000,15.000,0.00000e+00,1.56280e+00,1.0000
-48.50000,11.50000,15.000,8.72157e+01,1.98518e+00,1.0000
-47.50000,11.50000,15.000,4.36079e+01,2.45143e+00,1.0000
-46.50000,11.50000,15.000,0.00000e+00,2.77823e+00,1.0000
-45.50000,11.50000,15.000,1.39545e+03,2.91954e+00,1.0000
-44.50000,11.50000,15.000,6.10510e+02,2.92215e+00,1.0000
-43.50000,11.50000,15.000,3.92471e+02,2.78393e+00,1.0000
-42.50000,11.50000,15.000,4.36079e+01,2.56455e+00,1.0000
-41.50000,11.50000,15.000,4.36079e+01,2.45584e+00,1.0000
-40.50000,11.50000,15.000,0.00000e+00,2.38241e+00,1.0000
-39.50000,11.50000,15.000,0.00000e+00,2.14175e+00,1.0000
-38.50000,11.50000,15.000,0.00000e+00,1.74014e+00,1.0000
-37.50000,11.50000,15.000,0.00000e+00,1.26882e+00,1.0000
-36.50000,11.50000,15.000,0.00000e+00,7.81123e-01,1.0000
-35.50000,11.50000,15.000,0.00000e+00,5.74585e-01,1.0000
-34.50000,11.50000,15.000,0.00000e+00,5.86082e-01,1.0000
-33.50000,11.50000,15.000,0.00000e+00,3.20322e-01,1.0000
-32.50000,11.50000,15.000,0.00000e+00,-3.32493e-01,1.0000
-31.50000,11.50000,15.000,0.00000e+00,-1.35007e+00,1.0000
-30.50000,11.50000,15.000,0.00000e+00,-2.72749e+00,1.0000
